Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT5,45040.0,80.65,81.95,80.65,81.3,3056.0,31619.0,2023-04-24
FUT8,45040.0,8515.0,8595.0,8510.0,8547.5,43.0,2074.0,2023-04-24
FUT1,45041.0,77.175,77.5,76.825,76.975,532.0,3632.0,2023-04-25
FUT3,45041.0,89.6,90.725,89.4,89.95,5321.0,31331.0,2023-04-25
FUT4,45041.0,90.8,91.825,90.625,91.05,3101.0,28484.0,2023-04-25
FUT5,45041.0,80.975,81.9,80.9,81.55,2648.0,32117.0,2023-04-25
FUT6,45041.0,76.85,77.675,76.7,77.575,1401.0,20513.0,2023-04-25
FUT10,45042.0,94.925,95.825,94.925,95.675,52.0,166.0,2023-04-26
FUT4,45043.0,93.025,93.85,92.1,93.35,7215.0,28866.0,2023-04-27
FUT7,45043.0,82.5,83.275,82.2,83.1,1456.0,8638.0,2023-04-27
FUT8,45043.0,8615.0,8685.0,8615.0,8682.5,409.0,2153.0,2023-04-27
FUT1,45044.0,78.175,79.8,78.175,79.725,776.0,4423.0,2023-04-28
FUT10,45044.0,95.85,96.0,95.85,96.0,41.0,323.0,2023-04-28
FUT3,45044.0,92.5,94.0,92.175,93.575,9618.0,33324.0,2023-04-28
FUT5,45044.0,83.475,84.525,83.45,84.35,4655.0,32825.0,2023-04-28
FUT1,45047.0,79.4,79.55,78.8,79.35,0.0,0.0,2023-05-01
FUT2,45047.0,91.375,91.425,88.95,89.55,21180.0,95943.0,2023-05-01
FUT5,45047.0,84.25,84.25,82.65,82.925,2766.0,33016.0,2023-05-01
FUT7,45047.0,83.4,83.75,82.8,83.275,1640.0,8944.0,2023-05-01
FUT2,45048.0,90.15,1152.0550317002826,88.725,90.0,17640.0,94321.0,2023-05-02
FUT3,45048.0,90.85,91.675,90.475,91.4,0.0,0.0,2023-05-02
FUT4,45048.0,92.25,92.85,91.725,92.525,6935.0,29284.0,2023-05-02
FUT1,45049.0,78.8,78.9,78.075,78.15,1004.0,4268.0,2023-05-03
FUT2,45049.0,90.025,91.05,87.875,88.15,21877.0,92125.0,2023-05-03
FUT4,45049.0,92.85,93.525,90.325,90.425,7570.0,29916.0,2023-05-03
FUT6,45049.0,7934.999999999999,7970.0,7770.0,7770.0,3019.0,20692.0,2023-05-03
FUT9,45049.0,90.4,90.4,90.4,90.4,1.0,1.0,2023-05-03
FUT1,45050.0,77.75,77.825,77.0,77.0,576.0,4379.0,2023-05-04
FUT10,45050.0,94.7,94.7,94.475,94.475,2.0,379.0,2023-05-04
FUT3,45050.0,88.825,89.325,88.1,88.225,14445.0,41401.0,2023-05-04
FUT4,45050.0,90.0,90.475,89.425,89.5,6244.0,30637.0,2023-05-04
FUT6,45050.0,7765.000000000001,7790.000000000001,7712.5,7734.999999999999,0.0,0.0,2023-05-04
FUT7,45050.0,81.925,82.15,81.45,81.65,1236.0,9548.0,2023-05-04
FUT8,45050.0,8542.5,8567.5,8510.0,8537.5,179.0,3571.0,2023-05-04
FUT1,45051.0,76.7,76.7,75.3,75.4,1501.0,3945.0,2023-05-05
FUT4,45051.0,89.2,89.25,85.925,86.35,17090.0,30955.0,2023-05-05
FUT5,45051.0,80.4,80.625,77.975,78.275,7494.0,33235.0,2023-05-05
FUT7,45051.0,81.225,81.675,79.275,79.725,0.0,0.0,2023-05-05
FUT8,45051.0,8497.5,8510.0,8315.0,8345.0,413.0,3692.0,2023-05-05
FUT2,45054.0,83.625,84.125,83.025,83.275,29771.0,78596.0,2023-05-08
FUT3,45054.0,85.375,85.875,84.75,85.35,21560.0,4125317.036972138,2023-05-08
FUT5,45054.0,78.0,78.85,77.575,78.125,4521.0,33702.0,2023-05-08
FUT6,45054.0,7525.0,7572.499999999999,7442.5,7482.5,51697.52156291829,1717419.7342208603,2023-05-08
FUT8,45054.0,8340.0,8400.0,8300.0,8320.0,0.0,0.0,2023-05-08
FUT1,45055.0,75.65,76.45,75.65,76.275,584.0,3741.0,2023-05-09
FUT5,45055.0,77.85,79.2,76.725,78.85,6363.0,34432.0,2023-05-09
